,Date,new_daily_cases,total_icu
0,2020-03-06,1,1
1,2020-03-07,1,2
2,2020-03-08,2,4
3,2020-03-10,2,6
4,2020-03-12,1,7
5,2020-03-13,2,9
6,2020-03-14,5,14
7,2020-03-15,7,21
8,2020-03-16,6,27
9,2020-03-17,4,31
10,2020-03-18,15,46
11,2020-03-19,13,59
12,2020-03-20,22,81
13,2020-03-21,17,98
14,2020-03-22,26,124
15,2020-03-23,44,168
16,2020-03-24,38,206
17,2020-03-25,43,249
18,2020-03-26,41,290
19,2020-03-27,32,322
20,2020-03-28,34,356
21,2020-03-29,49,405
22,2020-03-30,37,442
23,2020-03-31,39,481
24,2020-04-01,49,530
25,2020-04-02,42,572
26,2020-04-03,39,611
27,2020-04-04,22,633
28,2020-04-05,3,636
